h,k,tau,I_CX,I_CS
1.0,3.1622776601683795e-05,10.0,0.2547227569069207,0.586535864854019
1.0,3.625117049988535e-05,10.0,0.2812761028725964,0.9095758657305443
1.0,4.1556988469563484e-05,10.0,0.3004015757946484,0.6498292923921735
1.0,4.7639380104013405e-05,10.0,0.28209676171185555,0.9064592629907118
1.0,5.4612006795364095e-05,10.0,0.3504795406871866,0.716431772799512
1.0,6.260516572014815e-05,10.0,0.3709381370104623,0.9268458042530605
1.0,7.176822469706299e-05,10.0,0.40388453904182503,0.7836834783492259
1.0,8.227241341700473e-05,10.0,0.49012036351651483,1.159206467181579
1.0,9.431402320497317e-05,10.0,0.45932754243502266,0.8508569698511808
1.0,0.00010811807510766077,10.0,0.513325898539687,1.3203162217274031
1.0,0.00012394252485211965,10.0,0.5154866478278022,0.9178543600557086
1.0,0.00014208308325339223,10.0,0.649526890327033,1.4950019522646083
1.0,0.00016287874214985498,10.0,0.5710168984294002,0.9832290013248425
1.0,0.00018671810912919206,10.0,0.6975667117959075,1.531161824666149
1.0,0.0002140466694217523,10.0,0.6245558471129374,1.0458972884443447
1.0,0.00024537511066398166,10.0,0.7925451733659433,1.6279425500418845
1.0,0.00028128886609642633,10.0,0.6748353031568972,1.1049190701709461
1.0,0.00032245905452963947,10.0,0.8701256511931402,1.8699593786843447
1.0,0.0003696550215126699,10.0,0.7208686137096446,1.1593598582272762
1.0,0.0004237587160604063,10.0,0.9278856039780996,1.9017178023017358
1.0,0.00048578117159706736,10.0,0.762266325964787,1.2087973956311735
1.0,0.0005568813990945267,10.0,0.9913754678980788,1.9645463799139693
1.0,0.0006383880454607353,10.0,0.7994697275853974,1.2535432507913955
1.0,0.0007318242219076182,10.0,1.0452176471481138,2.1550059958696495
1.0,0.0008389359662650986,10.0,0.8336118999412097,1.2946317770652231
1.0,0.0009617248711152964,10.0,1.091458710861521,2.1885860546339764
1.0,0.0011024854874674263,10.0,0.8658826761876884,1.3332669465782538
1.0,0.0012638482029342971,10.0,1.1371947094590524,2.3211190917454365
1.0,0.0014488283956730537,10.0,0.8967672026350098,1.370048533823581
1.0,0.0016608827826277166,10.0,1.1880355866402659,2.3998801350533157
1.0,0.0019039740150507663,10.0,0.9258063870687213,1.4046262547316257
1.0,0.0021826447283974874,10.0,1.2513907017683152,2.5375663114367795
1.0,0.0025021024303602817,10.0,0.9520588015357117,1.436057842303528
1.0,0.002868316813342012,10.0,1.3177776816987008,2.6186528622423038
1.0,0.0032881313098424274,10.0,0.9746920143865152,1.4633997058156303
1.0,0.0037693909753883635,10.0,1.3841481246900134,2.7528247461280544
1.0,0.004321089088750567,10.0,0.9930698571890545,1.4858859991806639
1.0,0.00495353520895917,10.0,1.436576263301294,2.8104340254670737
1.0,0.005678547829591997,10.0,1.006600568277523,1.5028258186713597
1.0,0.00650967523045817,10.0,1.4837922602804172,2.934710725608514
1.0,0.007462448653723031,10.0,1.0152266794935312,1.5140806906913429
1.0,0.008554672535565685,10.0,1.523451499601127,3.0256266609312767
1.0,0.009806757216915775,10.0,1.0202483802218456,1.5209550911932803
1.0,0.011242100350620862,10.0,1.5599848619585952,3.0924554671443127
1.0,0.012887524132383678,10.0,1.0239696292053715,1.525921317865903
1.0,0.014773776525985112,10.0,1.594311205874613,3.164420487361062
1.0,0.01693610584916738,10.0,1.0281056193127969,1.530942449683782
1.0,0.019414919457438815,10.0,1.6138088640085986,3.2315369744482902
1.0,0.022256538834596835,10.0,1.0327192469279303,1.536232681189712
1.0,0.0255140652003129,10.0,1.6111793916873103,3.26986903307812
1.0,0.029248371810351573,10.0,1.0368694029610839,1.5408202166302232
1.0,0.033529241492495566,10.0,1.6118144401915826,3.295866039754059
1.0,0.03843667067526157,10.0,1.0400155643829052,1.5440528415892674
1.0,0.04406236427773573,10.0,1.6386321733683828,3.3519161522080108
1.0,0.05051144939547159,10.0,1.0423359672580046,1.5460660853060992
1.0,0.057904439806024895,10.0,1.675466311080259,3.4314390545192066
1.0,0.06637948800475621,10.0,1.0440961965217777,1.5471519528497608
1.0,0.07609496685459875,10.0,1.6995155584246828,3.500979729454899
1.0,0.0872324290929691,10.0,1.0454093029964286,1.5474469926025736
1.0,0.1,10.0,1.7050702939701612,3.5475300271007533
1.0,0.11,10.0,1.0463544835791638,1.5470359279587393
