tau,h,optimalh_k_ICS,optimalh_I_CS,optimalh_k_ICX,optimalh_I_CX
10.0,1.0,0.0016608827826277166,1.5474469926025736,0.0032881313098424274,1.0476339814207247
10.0,1.0954773869346734,0.012887524132383678,3.8141057634692936,0.014773776525985112,1.7608436073040306
10.0,1.1909547738693467,0.0014488283956730537,1.645011180826343,0.002868316813342012,1.0990284530721817
10.0,1.2864321608040201,0.011242100350620862,3.889810781594143,0.014773776525985112,1.767065327651638
10.0,1.3819095477386933,0.0012638482029342971,1.7349181576846973,0.002868316813342012,1.145085694053087
10.0,1.4773869346733668,0.011242100350620862,3.9568086692294573,0.012887524132383678,1.7719260030691533
10.0,1.5728643216080402,0.0011024854874674263,1.8179719753955117,0.002868316813342012,1.186515181417767
10.0,1.6683417085427137,0.009806757216915775,4.016436869886674,0.012887524132383678,1.775799768729043
10.0,1.763819095477387,0.0011024854874674263,1.894874507146236,0.002868316813342012,1.2239266184372846
10.0,1.8592964824120601,0.009806757216915775,4.0704448195855765,0.011242100350620862,1.7789207498456712
10.0,1.9547738693467336,0.0009617248711152964,1.9659710423538739,0.0025021024303602817,1.2578893550565016
10.0,2.050251256281407,0.009806757216915775,4.119186868897759,0.011242100350620862,1.781473384269943
10.0,2.1457286432160805,0.0007318242219076182,2.031702929367159,0.0025021024303602817,1.2888637254568192
10.0,2.241206030150754,0.008554672535565685,4.163740249167363,0.009806757216915775,1.7835801996841618
10.0,2.3366834170854274,0.0005568813990945267,2.093600854889104,0.0025021024303602817,1.3171368120335054
10.0,2.4321608040201004,0.008554672535565685,4.204546869226084,0.009806757216915775,1.7853344876632005
10.0,2.527638190954774,0.00048578117159706736,2.1502653584517124,0.0021826447283974874,1.3430094219007116
10.0,2.6231155778894473,0.007462448653723031,4.241924280419843,0.008554672535565685,1.7868122590191715
10.0,2.7185929648241203,0.0004237587160604063,2.2003883075725335,0.0019039740150507663,1.3666519476034458
10.0,2.8140703517587937,0.007462448653723031,4.276502384333922,0.008554672535565685,1.7880500019853998
10.0,2.909547738693467,0.0004237587160604063,2.2442561748656775,0.0016608827826277166,1.3882734847968177
10.0,3.0050251256281406,0.00650967523045817,4.308059890257501,0.007462448653723031,1.7891142030186364
10.0,3.100502512562814,0.0003696550215126699,2.2813690625126584,0.0014488283956730537,1.40805950012986
10.0,3.1959798994974875,0.00650967523045817,4.336772411214766,0.00650967523045817,1.7900065460897625
10.0,3.291457286432161,0.00032245905452963947,2.3116104904849037,0.0012638482029342971,1.4261709503361186
10.0,3.386934673366834,0.005678547829591997,4.362499939446112,0.00650967523045817,1.7907541988689082
10.0,3.4824120603015074,0.00028128886609642633,2.3359826298220887,0.0012638482029342971,1.442767108332859
10.0,3.577889447236181,0.00495353520895917,4.384701184065777,0.005678547829591997,1.7913898700204802
10.0,3.6733668341708543,0.00028128886609642633,2.3567796411746174,0.0011024854874674263,1.4579680249448015
10.0,3.7688442211055277,0.004321089088750567,4.40319404583148,0.00495353520895917,1.791907082430807
10.0,3.8643216080402008,0.00024537511066398166,2.3749627302416574,0.0009617248711152964,1.471852906908077
10.0,3.959798994974874,0.0037693909753883635,4.416862543505477,0.004321089088750567,1.7923092133578944
