run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 111111, 110111, 0.895059075826913, 0.895059075826913, 0.0 0.0 0.0005011564885726812 0.015502756454562346 0.10489815702737769 0.3713363356657882 0.507761594363699, 
2, 111111, 111001, 0.8944442272951655, 0.8944442272951655, 0.0 0.0 0.0007197460980595705 0.014215119357277083 0.106723759842864 0.3743627740792088 0.5039786006225905, 
3, 011111, 101111, 0.8912421523101633, 0.8912421523101633, 0.0 0.0 0.0018153874207343934 0.019385280490186525 0.11247683302742688 0.362176028930669 0.5041464701309831, 
4, 111111, 111111, 0.8942578439653304, 0.8942578439653304, 0.0 0.0 0.0008297156577934504 0.01571575525192672 0.10882089274612297 0.36634502232881794 0.5082886140153389, 
5, 111101, 101111, 0.8981610470955853, 0.8981610470955853, 0.0 0.0 0.0011564022049567718 0.018579065495198974 0.09818745082677442 0.35429601046751513 0.5277810710055547, 
6, 111111, 110111, 0.9023094910296898, 0.9023094910296898, 0.0 0.0 0.0006267826461768788 0.014087902738599825 0.08977955353103603 0.3618131079592821 0.5336926531249051, 
7, 111111, 111111, 0.8926624153198838, 0.8926624153198838, 0.0 0.0 0.001200895399762804 0.013530497580281577 0.11261475317095225 0.3734009273988966 0.4992529264501068, 
8, 111111, 111001, 0.9063100123000452, 0.9063100123000452, 0.0 0.0 0.0007331249850153767 0.014716971574273176 0.08823703252461411 0.3385824464876188 0.5577304244284784, 
9, 111111, 111111, 0.8970001395713657, 0.8970001395713657, 0.0 0.0 0.0010700155889409426 0.017442245708781452 0.0955805209009646 0.37023132128776814 0.5156758965135448, 
10, 111111, 111111, 0.8929445307946984, 0.8929445307946984, 0.0 0.0 0.0009617809347615149 0.01573830268471944 0.11369901282975783 0.3638727577790892 0.505728145771672, 
11, 111111, 111011, 0.897672517193071, 0.897672517193071, 0.0 0.0 0.0017097152247678641 0.01573664031428925 0.09683570293117409 0.3662447091372875 0.5194732323924813, 
12, 111110, 101111, 0.9017411495525702, 0.9017411495525702, 0.0 0.0 0.0003471372539185242 0.013485342565783246 0.09272700265901648 0.36225452065352165 0.53118599686776, 
13, 111111, 101111, 0.8942031616058573, 0.8942031616058573, 0.0 0.0 0.00119580438066563 0.01320618747957652 0.11110876402670705 0.3681617223500489 0.5063275217630019, 
14, 111101, 111111, 0.8917863051310615, 0.8917863051310615, 0.0 6.380457293746713e-06 0.0027064231846569862 0.019210476987978044 0.10919475518986872 0.3624036328448624 0.5064783313353401, 
15, 111111, 111111, 0.8999155081213855, 0.8999155081213855, 0.0 0.0 0.0007308200240724026 0.013089741290973081 0.10688623959449176 0.3445419681134942 0.5347512309769686, 
16, 111111, 111111, 0.8935921086492142, 0.8935921086492142, 0.0 0.0 0.0013342300244449286 0.012666540831774072 0.10326957644015557 0.38857165263130156 0.49415800007232386, 
17, 110111, 111101, 0.8925204357424831, 0.8925204357424831, 0.0 0.0 0.0014937796539121811 0.013811857098911622 0.10990751994734191 0.3776516557380339 0.4971351875618004, 
18, 111111, 111111, 0.8976294813832445, 0.8976294813832445, 0.0 0.0 0.0026815021326483256 0.022945120624628744 0.09457658084699441 0.34550857960206444 0.5342882167936641, 
19, 111111, 111111, 0.900539081410814, 0.900539081410814, 0.0 0.00019602890021714394 0.0016501552950984972 0.013242739436736492 0.0928442386994038 0.36376805014462 0.5282987875239241, 
