run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 000000, 000000, 1.0776267770147857e-06, 1.0776267770147857e-06, 0.9999935342393378 6.4657606620887155e-06, 
2, 000000, 000000, 1.6299876593667139e-06, 1.6299876593667139e-06, 0.9999902200740438 9.779925956200284e-06, 
3, 000000, 000000, 2.902774051090378e-06, 2.902774051090378e-06, 0.9999825833556935 1.741664430654227e-05, 
4, 000000, 000000, 3.0755822125967378e-06, 3.0755822125967378e-06, 0.9999815465067243 1.8453493275580424e-05, 
5, 000000, 000000, 2.9389158814124515e-06, 2.9389158814124515e-06, 0.9999823665047115 1.7633495288474708e-05, 
6, 000000, 000000, 3.1209589961295695e-06, 3.1209589961295695e-06, 0.9999812742460231 1.872575397677742e-05, 
7, 000000, 000000, 1.123380410519181e-06, 1.123380410519181e-06, 0.9999932597175368 6.740282463115086e-06, 
8, 000000, 000000, 2.1523600620925812e-06, 2.1523600620925812e-06, 0.9999870858396275 1.2914160372555488e-05, 
9, 000000, 000000, 2.6656811262430553e-06, 2.6656811262430553e-06, 0.9999840059132427 1.5994086757458334e-05, 
10, 000000, 000000, 2.6494223943823944e-06, 2.6494223943823944e-06, 0.9999841034656337 1.589653436629437e-05, 
11, 000000, 000000, 2.7945905998000817e-06, 2.7945905998000817e-06, 0.9999832324564012 1.6767543598800492e-05, 
12, 000000, 000000, 1.3799567785780905e-06, 1.3799567785780905e-06, 0.9999917202593285 8.279740671468544e-06, 
13, 000000, 000000, 3.332601072732754e-06, 3.332601072732754e-06, 0.9999800043935635 1.9995606436396523e-05, 
14, 000000, 000000, 3.447155750406515e-06, 3.447155750406515e-06, 0.9999793170654976 2.0682934502439088e-05, 
15, 000000, 000000, 8.460362194333005e-07, 8.460362194333005e-07, 0.9999949237826834 5.076217316599802e-06, 
16, 000000, 000000, 8.489169400145297e-07, 8.489169400145297e-07, 0.99999490649836 5.093501640087178e-06, 
17, 000000, 000000, 2.8531983000236905e-06, 2.8531983000236905e-06, 0.9999828808101998 1.7119189800142142e-05, 
18, 000000, 000000, 2.5220701533841316e-06, 2.5220701533841316e-06, 0.9999848675790797 1.5132420920304793e-05, 
19, 000000, 000000, 1.9680087706995826e-06, 1.9680087706995826e-06, 0.9999881919473758 1.1808052624197498e-05, 
20, 000000, 000000, 2.211216382740546e-06, 2.211216382740546e-06, 0.9999867327017036 1.3267298296443277e-05, 
21, 000000, 000000, 9.762865817472728e-07, 9.762865817472728e-07, 0.9999941422805096 5.857719490483638e-06, 
22, 000000, 000000, 1.5026221179658311e-06, 1.5026221179658311e-06, 0.9999909842672922 9.015732707794988e-06, 
23, 000000, 000000, 1.7141481648530478e-06, 1.7141481648530478e-06, 0.9999897151110109 1.0284888989118287e-05, 
24, 000000, 000000, 2.058123971562432e-06, 2.058123971562432e-06, 0.9999876512561706 1.2348743829374594e-05, 
25, 000000, 000000, 2.391580052464713e-06, 2.391580052464713e-06, 0.9999856505196852 1.4349480314788278e-05, 
26, 000000, 000000, 2.4032012882134325e-06, 2.4032012882134325e-06, 0.9999855807922707 1.4419207729280594e-05, 
27, 000000, 000000, 3.4793244696735975e-06, 3.4793244696735975e-06, 0.9999791240531819 2.0875946818041585e-05, 
28, 000000, 000000, 2.503041792321808e-06, 2.503041792321808e-06, 0.9999849817492461 1.5018250753930848e-05, 
29, 000000, 000000, 1.5902648114807903e-06, 1.5902648114807903e-06, 0.999990458411131 9.541588868884743e-06, 
30, 000000, 000000, 1.9458901894516394e-06, 1.9458901894516394e-06, 0.9999883246588633 1.1675341136709837e-05, 
31, 000000, 000000, 2.0816135701502327e-06, 2.0816135701502327e-06, 0.999987510318579 1.2489681420901396e-05, 
32, 000000, 000000, 2.435315664202933e-06, 2.435315664202933e-06, 0.9999853881060149 1.4611893985217596e-05, 
33, 000000, 000000, 1.9722715081205105e-06, 1.9722715081205105e-06, 0.9999881663709513 1.1833629048723064e-05, 
34, 000000, 000000, 1.7212250513064799e-06, 1.7212250513064799e-06, 0.9999896726496922 1.032735030783888e-05, 
35, 000000, 000000, 2.4596539218152184e-06, 2.4596539218152184e-06, 0.9999852420764691 1.4757923530891313e-05, 
36, 000000, 000000, 2.602879861551289e-06, 2.602879861551289e-06, 0.9999843827208307 1.5617279169307737e-05, 
37, 000000, 000000, 2.4542868560535953e-06, 2.4542868560535953e-06, 0.9999852742788637 1.4725721136321572e-05, 
38, 000000, 000000, 1.7381826585281525e-06, 1.7381826585281525e-06, 0.9999895709040487 1.0429095951168915e-05, 
39, 000000, 000000, 2.308392859410658e-06, 2.308392859410658e-06, 0.9999861496428436 1.385035715646395e-05, 
40, 000000, 000000, 3.1263669997205575e-06, 3.1263669997205575e-06, 0.9999812417980016 1.875820199832335e-05, 
41, 000000, 000000, 4.2151230604497196e-07, 4.2151230604497196e-07, 0.9999974709261638 2.529073836269832e-06, 
42, 000000, 000000, 1.0579788435605178e-06, 1.0579788435605178e-06, 0.9999936521269386 6.347873061363107e-06, 
43, 000000, 000000, 2.242229092286215e-06, 2.242229092286215e-06, 0.9999865466254463 1.345337455371729e-05, 
44, 000000, 000000, 2.8852982779935228e-06, 2.8852982779935228e-06, 0.9999826882103321 1.7311789667961135e-05, 
45, 000000, 000000, 2.022361938208744e-06, 2.022361938208744e-06, 0.9999878658283707 1.2134171629252468e-05, 
46, 000000, 000000, 4.395128890709531e-07, 4.395128890709531e-07, 0.9999973629226655 2.6370773344257186e-06, 
47, 000000, 000000, 3.0436341041708584e-06, 3.0436341041708584e-06, 0.999981738195375 1.826180462502515e-05, 
48, 000000, 000000, 1.91623309539441e-06, 1.91623309539441e-06, 0.9999885026014276 1.1497398572366462e-05, 
49, 000000, 000000, 1.6033132990992365e-06, 1.6033132990992365e-06, 0.9999903801202055 9.61987979459542e-06, 
50, 000000, 000000, 2.0768583239065096e-06, 2.0768583239065096e-06, 0.9999875388500565 1.2461149943439058e-05, 
51, 000000, 000000, 1.6184285392012122e-06, 1.6184285392012122e-06, 0.9999902894287648 9.710571235207272e-06, 
52, 000000, 000000, 3.75883699366488e-06, 3.75883699366488e-06, 0.999977446978038 2.255302196198928e-05, 
53, 000000, 000000, 2.988580120538507e-06, 2.988580120538507e-06, 0.9999820685192767 1.793148072323104e-05, 
54, 000000, 000000, 4.579533828030952e-06, 4.579533828030952e-06, 0.9999725227970317 2.7477202968185714e-05, 
55, 000000, 000000, 2.4270503878116136e-06, 2.4270503878116136e-06, 0.9999854376976731 1.456230232686968e-05, 
56, 000000, 000000, 1.9377729009983616e-06, 1.9377729009983616e-06, 0.999988373362594 1.162663740599017e-05, 
57, 000000, 000000, 5.501071890376672e-07, 5.501071890376672e-07, 0.9999966993568656 3.300643134226004e-06, 
58, 000000, 000000, 2.323640738281864e-06, 2.323640738281864e-06, 0.9999860581555704 1.3941844429691186e-05, 
59, 000000, 000000, 2.4499216418059803e-06, 2.4499216418059803e-06, 0.9999853004701492 1.4699529850835883e-05, 
60, 000000, 000000, 2.4734293874363785e-06, 2.4734293874363785e-06, 0.9999851594236754 1.4840576324618276e-05, 
61, 000000, 000000, 3.834321529357125e-06, 3.834321529357125e-06, 0.9999769940708239 2.3005929176142746e-05, 
62, 000000, 000000, 3.023887439326059e-06, 3.023887439326059e-06, 0.9999818566753641 1.814332463595635e-05, 
63, 000000, 000000, 2.819223328985885e-06, 2.819223328985885e-06, 0.999983084660026 1.6915339973915312e-05, 
64, 000000, 000000, 1.7988847151897485e-06, 1.7988847151897485e-06, 0.9999892066917089 1.0793308291138491e-05, 
65, 000000, 000000, 1.2726793560097923e-06, 1.2726793560097923e-06, 0.9999923639238639 7.636076136058754e-06, 
66, 000000, 000000, 1.0463135825111829e-06, 1.0463135825111829e-06, 0.999993722118505 6.277881495067098e-06, 
67, 000000, 000000, 1.788898142631129e-06, 1.788898142631129e-06, 0.9999892666111442 1.0733388855786775e-05, 
68, 000000, 000000, 3.355545644550219e-06, 3.355545644550219e-06, 0.9999798667261327 2.0133273867301316e-05, 
69, 000000, 000000, 2.070626343442193e-06, 2.070626343442193e-06, 0.9999875762419392 1.242375806065316e-05, 
70, 000000, 000000, 4.637072634957513e-06, 4.637072634957513e-06, 0.9999721775641902 2.782243580974508e-05, 
71, 000000, 000000, 1.8028705924888545e-06, 1.8028705924888545e-06, 0.9999891827764451 1.0817223554933127e-05, 
72, 000000, 000000, 1.5429492254083017e-06, 1.5429492254083017e-06, 0.9999907423046476 9.25769535244981e-06, 
73, 000000, 000000, 7.615102869249776e-07, 7.615102869249776e-07, 0.9999954309382784 4.569061721549865e-06, 
74, 000000, 000000, 1.5151213809186413e-06, 1.5151213809186413e-06, 0.9999909092717145 9.090728285511848e-06, 
75, 000000, 000000, 2.253942046356596e-06, 2.253942046356596e-06, 0.9999864763477218 1.3523652278139576e-05, 
76, 000000, 000000, 2.8386166451761582e-06, 2.8386166451761582e-06, 0.9999829683001289 1.7031699871056952e-05, 
77, 000000, 000000, 1.5934263602092188e-06, 1.5934263602092188e-06, 0.9999904394418389 9.560558161255315e-06, 
78, 000000, 000000, 1.8430376037707668e-06, 1.8430376037707668e-06, 0.9999889417743774 1.10582256226246e-05, 
79, 000000, 000000, 4.326129258243129e-06, 4.326129258243129e-06, 0.9999740432244505 2.5956775549458774e-05, 
80, 000000, 000000, 1.0834874178840316e-06, 1.0834874178840316e-06, 0.9999934990754926 6.50092450730419e-06, 
81, 000000, 000000, 8.897424375628555e-07, 8.897424375628555e-07, 0.9999946615453746 5.338454625377133e-06, 
82, 000000, 000000, 2.5524836436831284e-06, 2.5524836436831284e-06, 0.9999846850981379 1.531490186209877e-05, 
83, 000000, 000000, 1.6569393593479778e-06, 1.6569393593479778e-06, 0.9999900583638439 9.941636156087869e-06, 
84, 000000, 000000, 2.635579891170625e-06, 2.635579891170625e-06, 0.999984186520653 1.581347934702375e-05, 
85, 000000, 000000, 3.7538461989329073e-06, 3.7538461989329073e-06, 0.9999774769228065 2.2523077193597442e-05, 
86, 000000, 000000, 3.179788059417954e-06, 3.179788059417954e-06, 0.9999809212716434 1.907872835650773e-05, 
87, 000000, 000000, 2.68810033126992e-06, 2.68810033126992e-06, 0.9999838713980125 1.6128601987619518e-05, 
88, 000000, 000000, 2.949588786836392e-06, 2.949588786836392e-06, 0.999982302467279 1.7697532721018353e-05, 
89, 000000, 000000, 2.715745961308104e-06, 2.715745961308104e-06, 0.9999837055242322 1.6294475767848624e-05, 
90, 000000, 000000, 2.0696801217885666e-06, 2.0696801217885666e-06, 0.9999875819192693 1.24180807307314e-05, 
91, 000000, 000000, 1.7859030214732993e-06, 1.7859030214732993e-06, 0.9999892845818711 1.0715418128839796e-05, 
92, 000000, 000000, 1.5040231777441636e-06, 1.5040231777441636e-06, 0.9999909758609334 9.024139066464982e-06, 
93, 000000, 000000, 1.6603723298243804e-06, 1.6603723298243804e-06, 0.9999900377660211 9.962233978946284e-06, 
94, 000000, 000000, 1.6327800195391683e-06, 1.6327800195391683e-06, 0.9999902033198829 9.79668011723501e-06, 
95, 000000, 000000, 3.4952564958786134e-06, 3.4952564958786134e-06, 0.9999790284610247 2.097153897527168e-05, 
96, 000000, 000000, 2.622643724463554e-06, 2.622643724463554e-06, 0.9999842641376531 1.5735862346781325e-05, 
97, 000000, 000000, 1.194742774013764e-06, 1.194742774013764e-06, 0.999992831543356 7.168456644082584e-06, 
98, 000000, 000000, 1.5530501315967458e-06, 1.5530501315967458e-06, 0.9999906816992105 9.318300789580476e-06, 
99, 000000, 000000, 1.1919044052105368e-06, 1.1919044052105368e-06, 0.9999928485735688 7.151426431263219e-06, 
100, 000000, 000000, 2.195971678689914e-06, 2.195971678689914e-06, 0.9999868241699279 1.3175830072139484e-05, 
