run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 000000, 000000, 5.165196025866023e-06, 5.165196025866023e-06, 0.9999690088238449 3.0991176155196145e-05, 
2, 000000, 000000, 1.6823579788472189e-06, 1.6823579788472189e-06, 0.999989905852127 1.0094147873083314e-05, 
3, 000000, 000000, 3.1104888970022734e-06, 3.1104888970022734e-06, 0.999981337066618 1.866293338201364e-05, 
4, 000000, 000000, 3.357748595122033e-06, 3.357748595122033e-06, 0.9999798535084292 2.01464915707322e-05, 
5, 000000, 000000, 3.537467671675856e-06, 3.537467671675856e-06, 0.99997877519397 2.1224806030055135e-05, 
6, 000000, 000000, 3.081254557645573e-06, 3.081254557645573e-06, 0.9999815124726542 1.848752734587344e-05, 
7, 000000, 000000, 4.191729649214425e-06, 4.191729649214425e-06, 0.9999748496221047 2.515037789528655e-05, 
8, 000000, 000000, 3.5699850963798742e-06, 3.5699850963798742e-06, 0.9999785800894218 2.1419910578279244e-05, 
9, 000000, 000000, 2.6701892808645576e-06, 2.6701892808645576e-06, 0.9999839788643148 1.6021135685187344e-05, 
10, 000000, 000000, 4.785547327229632e-06, 4.785547327229632e-06, 0.9999712867160365 2.8713283963377793e-05, 
11, 000000, 000000, 5.117700903665909e-06, 5.117700903665909e-06, 0.999969293794578 3.0706205421995454e-05, 
12, 000000, 000000, 4.331395626853646e-06, 4.331395626853646e-06, 0.9999740116262389 2.598837376112188e-05, 
13, 000000, 000000, 3.5795705364345227e-06, 3.5795705364345227e-06, 0.9999785225767814 2.1477423218607137e-05, 
14, 000000, 000000, 4.406128617317072e-06, 4.406128617317072e-06, 0.9999735632282962 2.6436771703902436e-05, 
15, 000000, 000000, 2.6768320625416754e-06, 2.6768320625416754e-06, 0.9999839390076247 1.6060992375250055e-05, 
16, 000000, 000000, 2.5815456258530494e-06, 2.5815456258530494e-06, 0.9999845107262448 1.5489273755118296e-05, 
17, 000000, 000000, 4.7001790437329205e-06, 4.7001790437329205e-06, 0.9999717989257375 2.820107426239752e-05, 
18, 000000, 000000, 2.146053167084199e-06, 2.146053167084199e-06, 0.9999871236809975 1.2876319002505196e-05, 
19, 000000, 000000, 2.7945688443686503e-06, 2.7945688443686503e-06, 0.9999832325869338 1.6767413066211905e-05, 
20, 000000, 000000, 3.371448813389731e-06, 3.371448813389731e-06, 0.9999797713071196 2.0228692880338388e-05, 
21, 000000, 000000, 1.3116670106365049e-06, 1.3116670106365049e-06, 0.9999921299979363 7.87000206381903e-06, 
22, 000000, 000000, 2.516537419090887e-06, 2.516537419090887e-06, 0.9999849007754854 1.5099224514545322e-05, 
23, 000000, 000000, 2.8396646493588875e-06, 2.8396646493588875e-06, 0.9999829620121038 1.703798789615333e-05, 
24, 000000, 000000, 4.216691658434065e-06, 4.216691658434065e-06, 0.9999746998500494 2.5300149950604395e-05, 
25, 000000, 000000, 3.8052068427486387e-06, 3.8052068427486387e-06, 0.9999771687589435 2.2831241056491834e-05, 
26, 000000, 000000, 3.275470462974361e-06, 3.275470462974361e-06, 0.9999803471772221 1.9652822777846167e-05, 
27, 000000, 000000, 4.908645279365308e-06, 4.908645279365308e-06, 0.9999705481283239 2.9451871676191846e-05, 
28, 000000, 000000, 3.0203822994393435e-06, 3.0203822994393435e-06, 0.9999818777062034 1.8122293796636064e-05, 
29, 000000, 000000, 4.37260313798892e-06, 4.37260313798892e-06, 0.9999737643811721 2.6235618827933522e-05, 
30, 000000, 000000, 2.4746635966949036e-06, 2.4746635966949036e-06, 0.99998515201842 1.484798158016942e-05, 
31, 000000, 000000, 2.5388638822766164e-06, 2.5388638822766164e-06, 0.9999847668167063 1.52331832936597e-05, 
32, 000000, 000000, 4.486154016036027e-06, 4.486154016036027e-06, 0.9999730830759037 2.6916924096216162e-05, 
33, 000000, 000000, 4.289300729315396e-06, 4.289300729315396e-06, 0.9999742641956242 2.5735804375892378e-05, 
34, 000000, 000000, 3.351504708809938e-06, 3.351504708809938e-06, 0.9999798909717472 2.010902825285963e-05, 
35, 000000, 000000, 3.4302640389380833e-06, 3.4302640389380833e-06, 0.9999794184157663 2.05815842336285e-05, 
36, 000000, 000000, 2.520133153551909e-06, 2.520133153551909e-06, 0.9999848792010786 1.5120798921311456e-05, 
37, 000000, 000000, 5.157693539954065e-06, 5.157693539954065e-06, 0.9999690538387603 3.094616123972439e-05, 
38, 000000, 000000, 4.22194053794689e-06, 4.22194053794689e-06, 0.9999746683567723 2.5331643227681342e-05, 
39, 000000, 000000, 2.2689208314346963e-06, 2.2689208314346963e-06, 0.9999863864750114 1.3613524988608179e-05, 
40, 000000, 000000, 4.510489061055505e-06, 4.510489061055505e-06, 0.9999729370656337 2.7062934366333033e-05, 
41, 000000, 000000, 3.745626130414945e-06, 3.745626130414945e-06, 0.9999775262432175 2.247375678248967e-05, 
42, 000000, 000000, 2.8142179659938847e-06, 2.8142179659938847e-06, 0.9999831146922039 1.688530779596331e-05, 
43, 000000, 000000, 3.397111882630017e-06, 3.397111882630017e-06, 0.9999796173287042 2.0382671295780098e-05, 
44, 000000, 000000, 2.2342179652431637e-06, 2.2342179652431637e-06, 0.9999865946922085 1.3405307791458984e-05, 
45, 000000, 000000, 4.76149022567513e-06, 4.76149022567513e-06, 0.9999714310586459 2.856894135405078e-05, 
46, 000000, 000000, 4.048072887169904e-06, 4.048072887169904e-06, 0.999975711562677 2.4288437323019424e-05, 
47, 000000, 000000, 2.8210513040077905e-06, 2.8210513040077905e-06, 0.999983073692176 1.6926307824046743e-05, 
48, 000000, 000000, 3.992247009214064e-06, 3.992247009214064e-06, 0.9999760465179447 2.3953482055284388e-05, 
49, 000000, 000000, 4.970371060972457e-06, 4.970371060972457e-06, 0.9999701777736342 2.982222636583474e-05, 
50, 000000, 000000, 1.995404592012154e-06, 1.995404592012154e-06, 0.999988027572448 1.1972427552072925e-05, 
51, 000000, 000000, 3.5771473805720377e-06, 3.5771473805720377e-06, 0.9999785371157166 2.146288428343223e-05, 
52, 000000, 000000, 3.40655446115323e-06, 3.40655446115323e-06, 0.9999795606732331 2.043932676691938e-05, 
53, 000000, 000000, 2.390442186123163e-06, 2.390442186123163e-06, 0.9999856573468834 1.4342653116738981e-05, 
54, 000000, 000000, 2.297282731436967e-06, 2.297282731436967e-06, 0.9999862163036114 1.3783696388621805e-05, 
55, 000000, 000000, 3.605505204915999e-06, 3.605505204915999e-06, 0.9999783669687704 2.1633031229495997e-05, 
56, 000000, 000000, 2.756698936102637e-06, 2.756698936102637e-06, 0.9999834598063836 1.6540193616615824e-05, 
57, 000000, 000000, 2.7934215655900436e-06, 2.7934215655900436e-06, 0.9999832394706064 1.676052939354026e-05, 
58, 000000, 000000, 2.9252851907594807e-06, 2.9252851907594807e-06, 0.9999824482888554 1.7551711144556886e-05, 
59, 000000, 000000, 4.423862421987707e-06, 4.423862421987707e-06, 0.999973456825468 2.6543174531926244e-05, 
60, 000000, 000000, 4.634118436533731e-06, 4.634118436533731e-06, 0.9999721952893807 2.780471061920239e-05, 
61, 000000, 000000, 1.8922526607805966e-06, 1.8922526607805966e-06, 0.9999886464840353 1.135351596468358e-05, 
62, 000000, 000000, 2.5636899593615986e-06, 2.5636899593615986e-06, 0.999984617860244 1.538213975616959e-05, 
63, 000000, 000000, 3.0192302288781066e-06, 3.0192302288781066e-06, 0.9999818846186267 1.811538137326864e-05, 
64, 000000, 000000, 3.4579174366406895e-06, 3.4579174366406895e-06, 0.9999792524953801 2.074750461984414e-05, 
65, 000000, 000000, 3.958016313063485e-06, 3.958016313063485e-06, 0.9999762519021216 2.3748097878380917e-05, 
66, 000000, 000000, 3.1124439675064334e-06, 3.1124439675064334e-06, 0.9999813253361949 1.8674663805038604e-05, 
67, 000000, 000000, 4.831672675318377e-06, 4.831672675318377e-06, 0.999971009963948 2.8990036051910262e-05, 
68, 000000, 000000, 3.7936891270180247e-06, 3.7936891270180247e-06, 0.999977237865238 2.2762134762108153e-05, 
69, 000000, 000000, 2.2428466163167167e-06, 2.2428466163167167e-06, 0.9999865429203021 1.34570796979003e-05, 
70, 000000, 000000, 2.5996739923039903e-06, 2.5996739923039903e-06, 0.9999844019560462 1.5598043953823944e-05, 
