run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 000000, 000000, 3.227105952388275e-06, 3.227105952388275e-06, 0.9999806373642858 1.9362635714329653e-05, 
2, 000000, 000000, 3.1768642805951677e-06, 3.1768642805951677e-06, 0.9999809388143165 1.906118568357101e-05, 
3, 000000, 000000, 7.036889186765868e-07, 7.036889186765868e-07, 0.9999957778664879 4.222133512059521e-06, 
4, 000000, 000000, 3.956625379146735e-06, 3.956625379146735e-06, 0.9999762602477251 2.3739752274880414e-05, 
5, 000000, 000000, 2.4334711401366243e-06, 2.4334711401366243e-06, 0.9999853991731592 1.4600826840819746e-05, 
6, 000000, 000000, 2.270822710646712e-06, 2.270822710646712e-06, 0.9999863750637361 1.3624936263880273e-05, 
7, 000000, 000000, 4.067480824183587e-06, 4.067480824183587e-06, 0.999975595115055 2.4404884945101524e-05, 
8, 000000, 000000, 2.068625220459344e-06, 2.068625220459344e-06, 0.9999875882486774 1.2411751322756065e-05, 
9, 000000, 000000, 2.721753644237594e-06, 2.721753644237594e-06, 0.9999836694781344 1.6330521865425563e-05, 
10, 000000, 000000, 2.8304318873741673e-06, 2.8304318873741673e-06, 0.9999830174086758 1.6982591324245006e-05, 
11, 000000, 000000, 4.655295930500598e-06, 4.655295930500598e-06, 0.999972068224417 2.7931775583003593e-05, 
12, 000000, 000000, 4.223970050902108e-06, 4.223970050902108e-06, 0.9999746561796946 2.5343820305412648e-05, 
13, 000000, 000000, 2.613209908194551e-06, 2.613209908194551e-06, 0.9999843207405509 1.5679259449167307e-05, 
14, 000000, 000000, 4.8462884001518255e-06, 4.8462884001518255e-06, 0.999970922269599 2.907773040091096e-05, 
15, 000000, 000000, 6.059978123392419e-06, 6.059978123392419e-06, 0.9999636401312597 3.635986874035451e-05, 
16, 000000, 000000, 1.893718538872137e-06, 1.893718538872137e-06, 0.9999886376887668 1.1362311233232822e-05, 
17, 000000, 000000, 2.182532803417067e-06, 2.182532803417067e-06, 0.9999869048031794 1.3095196820502404e-05, 
18, 000000, 000000, 2.2045663375082962e-06, 2.2045663375082962e-06, 0.9999867726019751 1.3227398025049777e-05, 
19, 000000, 000000, 5.403618764016404e-06, 5.403618764016404e-06, 0.9999675782874159 3.2421712584098424e-05, 
20, 000000, 000000, 2.732654682370748e-06, 2.732654682370748e-06, 0.9999836040719059 1.6395928094224487e-05, 
21, 000000, 000000, 1.5756476747644048e-06, 1.5756476747644048e-06, 0.9999905461139514 9.45388604858643e-06, 
22, 000000, 000000, 2.007871144293427e-06, 2.007871144293427e-06, 0.9999879527731343 1.2047226865760563e-05, 
23, 000000, 000000, 4.884408353750943e-06, 4.884408353750943e-06, 0.9999706935498776 2.9306450122505665e-05, 
24, 000000, 000000, 2.9913528050238428e-06, 2.9913528050238428e-06, 0.9999820518831699 1.794811683014306e-05, 
25, 000000, 000000, 4.9838364085942635e-06, 4.9838364085942635e-06, 0.9999700969815484 2.9903018451565584e-05, 
26, 000000, 000000, 3.744606420738568e-06, 3.744606420738568e-06, 0.9999775323614756 2.246763852443141e-05, 
27, 000000, 000000, 2.2517146803410865e-06, 2.2517146803410865e-06, 0.999986489711918 1.351028808204652e-05, 
28, 000000, 000000, 3.1371267877206792e-06, 3.1371267877206792e-06, 0.9999811772392737 1.8822760726324074e-05, 
29, 000000, 000000, 5.403088993388193e-06, 5.403088993388193e-06, 0.9999675814660396 3.241853396032916e-05, 
30, 000000, 000000, 5.221356709905423e-06, 5.221356709905423e-06, 0.9999686718597406 3.132814025943254e-05, 
31, 000000, 000000, 2.375532863482863e-06, 2.375532863482863e-06, 0.9999857468028192 1.4253197180897179e-05, 
