run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
2, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
3, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
4, 011111, 111111, 0.9786030024258755, 0.9786030024258755, 0.0 0.0 0.0 0.0 0.0 0.12838198544474683 0.8716180145552532, 
5, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
6, 000000, 000000, 1.1245948959554549e-07, 1.1245948959554549e-07, 0.9999993252430625 6.74756937573273e-07, 
7, 111111, 111110, 0.9939439035255739, 0.9939439035255739, 0.0 0.0 0.0 0.0 0.0 0.03633657884655602 0.9636634211534439, 
8, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
9, 111110, 111110, 0.8333333333333333, 0.8333333333333333, 0.0 0.0 0.0 0.0 0.0 1.0, 
10, 111110, 111110, 0.8333333333333333, 0.8333333333333333, 0.0 0.0 0.0 0.0 0.0 1.0, 
11, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
12, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
13, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
14, 000000, 000000, 2.114867869511205e-06, 2.114867869511205e-06, 0.9999873107927829 1.2689207217067229e-05, 
15, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
16, 111100, 111100, 0.6666707831800631, 0.6666707831800631, 0.0 0.0 0.0 0.0 0.9999753009196211 2.4699080378881446e-05, 
17, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
18, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
19, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
20, 000000, 000000, 6.929920462678745e-06, 6.929920462678745e-06, 0.9999584204772239 4.157952277607247e-05, 
21, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
22, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
23, 000000, 000000, 1.002572430455183e-06, 1.002572430455183e-06, 0.9999939845654172 6.015434582731099e-06, 
24, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
25, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
26, 000000, 000000, 0.0, 0.0, 1.0, 
27, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
28, 000000, 000000, 9.753976193512752e-06, 9.753976193512752e-06, 0.9999414761428389 5.8523857161076515e-05, 
29, 000000, 000000, 3.094512511864135e-05, 3.094512511864135e-05, 0.999814329249288 0.00018567075071184808, 
30, 000000, 000000, 1.1814137615141799e-07, 1.1814137615141799e-07, 0.9999992911517431 7.08848256908508e-07, 
31, 111111, 111111, 1.0, 1.0, 0.0 0.0 0.0 0.0 0.0 0.0 1.0, 
