run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 000000, 000000, 0.0006096381335234562, 0.0006096381335234562, 0.9963421711988593 0.003657828801140737, 
2, 000000, 000000, 0.0007206109912078768, 0.0007206109912078768, 0.9956763340527528 0.004323665947247261, 
3, 000000, 000000, 0.0008130827794518987, 0.0008130827794518987, 0.9951278081001115 0.0048658871230656715 6.3047768228601494e-06, 
4, 000000, 000000, 0.013776150873678113, 0.013776150873678113, 0.9613069508904869 0.004308667829587242 0.024804906427295947 0.009579474852629853, 
5, 000000, 000000, 0.0024120317133628933, 0.0024120317133628933, 0.9905095022733597 0.004539915530087472 0.004919471839568653 3.111035698419412e-05, 
6, 000000, 000000, 0.01532334153001859, 0.01532334153001859, 0.9662974630502709 0.0043313660323005205 0.005295923677481682 0.019286701714981244 0.004785996976924397 2.5485480412658154e-06, 
7, 000000, 000000, 0.02207764710751529, 0.02207764710751529, 0.9480060552988105 0.003902391163973776 0.02232254298272562 0.019157636702293875 0.006611373852196275, 
8, 000000, 000000, 0.0017378837100462887, 0.0017378837100462887, 0.992636245618713 0.004324356948344907 0.003015246986893753 2.4150446048439684e-05, 
9, 000000, 000000, 0.0007350666706454659, 0.0007350666706454659, 0.9955895999761273 0.004410400023872795, 
10, 000000, 000000, 0.0007127776691445454, 0.0007127776691445454, 0.9957233339851328 0.0042766660148672725, 
11, 000000, 000000, 0.0006741184804047389, 0.0006741184804047389, 0.9959552891175716 0.004044710882428433, 
12, 000000, 000000, 0.0007221071396436461, 0.0007221071396436461, 0.9956673571621381 0.0043326428378618765, 
13, 011110, 000000, 0.011047679407228492, 0.011047679407228492, 0.9804392233505456 0.004324107168940288 0.0016757063331256682 0.001208598124923618 0.006777062878916391 0.005575302143548582, 
14, 000000, 000000, 0.000739014215998818, 0.000739014215998818, 0.995565914704007 0.004434085295992908, 
15, 000000, 000000, 0.0007490409632144809, 0.0007490409632144809, 0.9955130615795997 0.00447963106151357 7.307358886657621e-06, 
16, 000000, 000000, 0.0006971879527387736, 0.0006971879527387736, 0.9958235552758821 0.0041697617318030645 6.6829923147885e-06, 
17, 000000, 000000, 0.000662387961617179, 0.000662387961617179, 0.9960256722302969 0.0039743277697030744, 
18, 000000, 000000, 0.0121043735611583, 0.0121043735611583, 0.9679490058667304 0.0042413507664188325 0.015050939767398795 0.012751803332074542 6.900267377434604e-06, 
19, 000000, 000000, 0.0052734277201299945, 0.0052734277201299945, 0.984421843929809 0.0039834199744695304 0.007127061940853833 0.004467674154867591, 
20, 000000, 000000, 0.0009039039957705532, 0.0009039039957705532, 0.9951650311776327 0.004246513670111373 0.0005884551522559733, 
21, 000000, 000000, 0.0006954134862673264, 0.0006954134862673264, 0.995827519082396 0.004172480917603958, 
22, 000000, 000000, 0.0006623755692315925, 0.0006623755692315925, 0.9960595172970664 0.003906711990477617 3.3770712455969604e-05, 
23, 000000, 000000, 0.0006659994883582734, 0.0006659994883582734, 0.9960040030698504 0.00399599693014964, 
24, 000000, 000000, 0.0007404740010140687, 0.0007404740010140687, 0.9955694838432938 0.004418188307327872 1.2327849378269854e-05, 
25, 000000, 000000, 0.0007165980693625433, 0.0007165980693625433, 0.9957218992681935 0.004256613047437735 2.148768436876231e-05, 
26, 000000, 000000, 0.0007453371489627689, 0.0007453371489627689, 0.9955288145751543 0.004470347955914883 8.374689308653222e-07, 
27, 000000, 000000, 0.009844403726980987, 0.009844403726980987, 0.9692006486032603 0.004155236978117263 0.02502534654125258 0.0016145792082158988 4.188669153951916e-06, 
28, 000000, 000000, 0.0006802465383262281, 0.0006802465383262281, 0.9959327475552034 0.004053025659635815 1.4226785160776704e-05, 
29, 000000, 000000, 0.0007681845018402927, 0.0007681845018402927, 0.9953908929889582 0.004609107011041757, 
30, 000000, 000000, 0.000682210133327072, 0.000682210133327072, 0.9959067392000376 0.004093260799962432, 
31, 000000, 000000, 0.0007155916044089964, 0.0007155916044089964, 0.995706450373546 0.004293549626453979, 
32, 000000, 000000, 0.0007340878633150807, 0.0007340878633150807, 0.9955954728201095 0.004404527179890484, 
33, 000000, 000000, 0.0007437896717582388, 0.0007437896717582388, 0.9955372619694506 0.004462738030549434, 
34, 000000, 000000, 0.0007156540744127255, 0.0007156540744127255, 0.9957150524527839 0.0042759706479557355 8.976899260308313e-06, 
35, 000000, 000000, 0.0006623716162475569, 0.0006623716162475569, 0.9960257703025146 0.003974229697485341, 
36, 000000, 000000, 0.0007337224389694727, 0.0007337224389694727, 0.9955976653661831 0.004402334633816837, 
37, 000000, 000000, 0.0007526829842127039, 0.0007526829842127039, 0.9954857974993396 0.004512307096044592 1.8954046158161137e-06, 
38, 000000, 000000, 0.008025810712252713, 0.008025810712252713, 0.9737249104128225 0.0044542974667381935 0.02176180955454004 5.898256589933405e-05, 
39, 000000, 000000, 0.0008055943802915824, 0.0008055943802915824, 0.9951664337182505 0.0048335662817494945, 
40, 000000, 000000, 0.002162857634200076, 0.002162857634200076, 0.9913251369362631 0.0043725803222733626 0.004302282741463546, 
41, 000000, 000000, 0.0006684845537343469, 0.0006684845537343469, 0.9960077161030149 0.003973660471564225 1.862342542092852e-05, 
42, 000000, 000000, 0.008912859805996716, 0.008912859805996716, 0.973671022659669 0.004224463675075494 0.01706084583486131 0.005043667830394061, 
43, 000000, 000000, 0.0007202046154214327, 0.0007202046154214327, 0.9956787723074715 0.0043212276925285965, 
44, 000000, 000000, 0.0006751457791317119, 0.0006751457791317119, 0.9959539749083719 0.004041175508465819 4.849583162226336e-06, 
45, 000000, 000000, 0.0007363568920504377, 0.0007363568920504377, 0.9956098190696228 0.004362220508451906 2.796042192536026e-05, 
46, 000000, 000000, 0.0006592974180227334, 0.0006592974180227334, 0.9960442154918636 0.0039557845081364, 
47, 000000, 000000, 0.000688929238061165, 0.000688929238061165, 0.9958677241216529 0.00413097632832701 1.2995500199897286e-06, 
48, 000000, 000000, 0.03370489228690132, 0.03370489228690132, 0.9336157717290607 0.004511156796519943 0.020648871627080033 0.008493288317702768 0.032713968930563046 1.6942599073489676e-05, 
49, 000110, 000000, 0.009769336459447197, 0.009769336459447197, 0.9764671155984027 0.003965510741349474 0.0040904804190015605 0.015438025787654451 3.886745359181038e-05, 
50, 000000, 000000, 0.005459002933385553, 0.005459002933385553, 0.9833389053198762 0.003751134304004227 0.00974347298038975 0.003150012247389469 1.64751483402969e-05, 
51, 000000, 000000, 0.0007313247222632342, 0.0007313247222632342, 0.9957304349949648 0.004151181676490841 0.00011838332854428217, 
52, 000000, 000000, 0.0007230489680262266, 0.0007230489680262266, 0.9956617061918428 0.00433829380815736, 
53, 000000, 000000, 0.00937354223270622, 0.00937354223270622, 0.974122924276636 0.004157056726960855 0.013111543383923079 0.008572792548489456 3.5683063990486226e-05, 
54, 000000, 000000, 0.0006364484235742012, 0.0006364484235742012, 0.9961813094585548 0.0038186905414452073, 
55, 000000, 000000, 0.0007222448932320153, 0.0007222448932320153, 0.9956696071289245 0.004327316382758719 3.076488316686532e-06, 
56, 000000, 000000, 0.0007307907431733202, 0.0007307907431733202, 0.9956167452055146 0.004381765129930862 1.4896645545294793e-06, 
57, 000000, 000000, 0.02559728917305244, 0.02559728917305244, 0.951312050031914 0.004378070163770608 0.006896655695513055 0.014324210318061135 0.023005346424371183 8.366736636996389e-05, 
58, 000000, 000000, 0.000835236996624219, 0.000835236996624219, 0.9949885780202546 0.005011421979745315, 
59, 000000, 000000, 0.0022074702301562157, 0.0022074702301562157, 0.9912910837678651 0.004178591194675812 0.00452474492611562 5.580111343415352e-06, 
60, 000000, 000000, 0.0007798790642107004, 0.0007798790642107004, 0.9953207256147357 0.004679274385264202, 
61, 000000, 000000, 0.0006111708560976214, 0.0006111708560976214, 0.9963329748634143 0.0036670251365857284, 
62, 000000, 000000, 0.00069598359682414, 0.00069598359682414, 0.9958240984190551 0.00417590158094484, 
63, 000000, 000000, 0.0006355160417747705, 0.0006355160417747705, 0.9962127294074262 0.003761444934498894 2.5825658074864632e-05, 
64, 000000, 000000, 0.0006668478287032405, 0.0006668478287032405, 0.9960141064483236 0.003970700131133272 1.5193420543085309e-05, 
65, 000000, 000000, 0.0007073585454848942, 0.0007073585454848942, 0.995774109397486 0.004207629932118659 1.8260670395353337e-05, 
66, 000000, 000000, 0.01209413127848361, 0.01209413127848361, 0.9647908677151579 0.0036069619940195057 0.025850299061902157 0.005750257362604013 1.6138663164502902e-06, 
67, 000000, 000000, 0.0006692141324688305, 0.0006692141324688305, 0.996006027064965 0.003972661075257129 2.1311859777926625e-05, 
68, 000000, 000000, 0.001440751534927761, 0.001440751534927761, 0.9936728075151933 0.0040098757600468896 0.0023173167247598383, 
69, 000000, 000000, 0.0007917897413465093, 0.0007917897413465093, 0.9952492615519211 0.004750738448079056, 
70, 000000, 000000, 0.0007127319608928025, 0.0007127319608928025, 0.9957236082346432 0.004276391765356815, 
71, 000000, 000000, 0.002688082560862342, 0.002688082560862342, 0.9897496272494847 0.004432847521215282 0.005756927843941068 6.059738535887713e-05, 
72, 000000, 000000, 0.0008913213545899781, 0.0008913213545899781, 0.9953486254084962 0.0039548210554675 0.0006965535360361841, 
73, 000000, 000000, 0.0011332260793383833, 0.0011332260793383833, 0.9948102394573654 0.0035801646092389595 0.0016095959333956701, 
74, 000000, 000000, 0.0007687095526648285, 0.0007687095526648285, 0.9954337440418679 0.004520254600274975 4.6001357856998146e-05, 
75, 000000, 000000, 0.0006671193431889341, 0.0006671193431889341, 0.9959984009013173 0.004000482138231742 1.116960450931916e-06, 
76, 000000, 000000, 0.0007366513225745484, 0.0007366513225745484, 0.9955800920645527 0.004419907935447291, 
77, 000000, 000000, 0.000655358603773642, 0.000655358603773642, 0.9960678483773582 0.003932151622641852, 
78, 000000, 000000, 0.004130555781763846, 0.004130555781763846, 0.9856486199256661 0.003931233643145845 0.010408338246126702 1.1808185061276161e-05, 
79, 000000, 000000, 0.0006665950134131108, 0.0006665950134131108, 0.9960073215492233 0.003985786821074734 6.8916297019653375e-06, 
