run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 0011111100, 0001111100, 0.5621375926334023, 0.936808556886775, 0.0010146657329008976 0.0002952017433878921 0.0028500953057141953 0.008527137307104844 0.048496962968901935 0.23760893648303005 0.7012070004589602, 
2, 0011111100, 0001110000, 0.5604726330264236, 0.9340308808980087, 0.0016954492056190397 0.00030948235415140783 0.0015253388896032173 0.01191241648855173 0.05855829709489787 0.22513940839361235 0.7008596075735645, 
3, 0011111100, 0001111100, 0.559818205651308, 0.9329455485413781, 0.001973856266806636 0.0004837024626605283 0.0027202911596842035 0.012080666976512042 0.050717724382081615 0.239506444505153 0.6925173142471021, 
4, 0011111100, 0011111100, 0.5614412671125557, 0.9356458818092003, 0.0027679408451936286 0.0005863168832387455 0.003200698080355205 0.010433423352811215 0.04409774776039656 0.23428692175679544 0.7046269513212092, 
5, 0001111000, 0011111100, 0.5596820737082906, 0.9327128146923896, 0.0 0.0 0.0019784680637210746 0.017369823479258886 0.06083693893609653 0.2220258912808087 0.6977888782401149, 
6, 0011111100, 0001110000, 0.5605585471857564, 0.9341703941102232, 0.0027775970568700912 0.0005442606143865698 0.003959317807399715 0.013273458091361223 0.04708663246280951 0.22575983949620507 0.7065988944709678, 
7, 0011111000, 0011111000, 0.552445388920592, 0.92065757780889, 0.005860014695118892 0.0014925948351583592 0.005142863022084023 0.015567043109412888 0.06901088622938453 0.22813711692481134 0.6747894811840299, 
8, 0011111100, 0011111100, 0.5605881489446618, 0.9342285111444056, 0.002644849419865792 0.0005834692412000752 0.0024285790525281144 0.01048708678291149 0.051933055602155394 0.23080080264521363 0.7011221572561255, 
9, 0011111100, 0011111100, 0.5598670371653935, 0.933019989627665, 8.631909389722914e-05 8.761668548538571e-05 0.002119601942151884 0.01605090875802928 0.06165775249663085 0.2209774252072425 0.6990203758165628, 
10, 0011111100, 0011111100, 0.5598182862006836, 0.9329387515953099, 0.0004864264270019531 0.00018206947268406548 0.0016866012205410854 0.010344997023679428 0.059441887306980495 0.2418734139355444 0.6859846046135685, 
11, 0011111000, 0011111100, 0.5605373752456029, 0.9341430178839869, 0.0018651439298395882 0.0003667034381646201 0.0023390112500753855 0.010469690118466544 0.0483708462433896 0.2446107040837383 0.6919779009363259, 
12, 0001111100, 0011111000, 0.564427853928407, 0.9406211897766595, 0.0005782526051176729 0.00011336677525264875 0.0011472783919189657 0.010362043564118458 0.04848470318991097 0.21959186119321947 0.7197224942804619, 
13, 0011111100, 0011111100, 0.5647764610462058, 0.9412023382562813, 0.0 0.0 0.001130802164068676 0.007765917498895639 0.04536846925328488 0.2342280708027814 0.7115067402809694, 
14, 0011111100, 0001111100, 0.555894264842559, 0.9264029447055271, 0.008447070473777516 0.0019376461975227223 0.004175742246263541 0.01746291869063028 0.04889853491984879 0.2143228830399164 0.7047552044320408, 
15, 0011111100, 0011111100, 0.559799922619953, 0.9329081487582875, 0.0021133410292575186 0.0003488627741561901 0.0018612061981577318 0.013441978074940826 0.05701029668318529 0.2263353950201241 0.6988889202201783, 
16, 0011111100, 0011111100, 0.5548945441470198, 0.9247341807453255, 0.005471365227835362 0.0017479361746994724 0.006040696991331568 0.01658573680572589 0.06186301257080637 0.21238101976342014 0.6959102324661812, 
17, 0011111100, 0011111100, 0.5571224509012128, 0.9284497110225881, 0.002323173064039761 0.0006625641514578887 0.0031099648020709338 0.014095368866195042 0.06309954857187101 0.23112481177233193 0.6855845687720334, 
18, 0011111100, 0011111000, 0.563122218841318, 0.938447257282014, 0.00018376547288292928 0.00014471502573779648 0.0005667637354399884 0.008973224937261047 0.05381937572910236 0.23066480713018223 0.7056473479693937, 
19, 0001111100, 0011111100, 0.5674003228848435, 0.9455773032640701, 2.1444636869657604e-05 3.197948436708677e-05 0.0011986139935956115 0.003902067724277405 0.04355021857921266 0.22264651886688522 0.7286491567147924, 
20, 0011111100, 0011111100, 0.5609599563788318, 0.9348438906115286, 0.0038382577330158293 0.000870998069641959 0.0015850996244579551 0.01576781230538404 0.04677787394629768 0.21635253627794482 0.7148074220432579, 
21, 0011111100, 0011111000, 0.5578884214238691, 0.929726520330146, 0.0 0.0 0.0013820142684525109 0.01286800824959283 0.059977798158700586 0.2575531998791335 0.6682189794441207, 
22, 0011111100, 0011111100, 0.5655515680167748, 0.9424937730877473, 0.0 0.0 0.0012847173949742435 0.007282036457832375 0.04906543774402653 0.21992150703206864 0.7224463013710983, 
23, 0011111100, 0011111100, 0.5583973828700708, 0.9305763778375848, 0.0 0.0 0.0028204131138556627 0.010659082226198009 0.06396833180113677 0.24534617023820107 0.6772060026206085, 
24, 0011111100, 0011111100, 0.5566685379146968, 0.9276899235489601, 0.00838435143459953 0.00236992419632449 0.00353821417039298 0.008671855809858813 0.056059682216341465 0.21941694057318853 0.7015590315992941, 
25, 0011111100, 0011111000, 0.560150136875608, 0.9334917788742003, 0.001570044238027703 0.0007232411686923674 0.0033188355715225385 0.016369888611151635 0.05415408140515401 0.21531968455331726 0.7085442244521345, 
26, 0011111100, 0011111100, 0.5642912313561005, 0.9403947713297873, 0.0 0.0 0.001433040389528246 0.008029482037284664 0.048560988324040315 0.23068878770322773 0.711287701545919, 
27, 0011111100, 0001111100, 0.5671629243548347, 0.9451798137364703, 0.0 0.0 0.0008580571329502619 0.01092276586521573 0.040697097266041045 0.2113263969216476 0.7361956828141454, 
28, 0011111100, 0011111100, 0.5599071066882446, 0.9330940999705271, 0.0030076363346499485 0.0006803340636232353 0.0039315450159027885 0.013061524865519304 0.05262448305943332 0.21982819107178567 0.7068662855890858, 
29, 0011111100, 0011111100, 0.5624228246081799, 0.9372867075072959, 0.0005215388997197719 0.00016949920096808954 0.0017447730428851358 0.011274354186694212 0.052028252300464484 0.22744436622051323 0.7068172161487551, 
30, 0011111100, 0001111100, 0.5572752422983337, 0.92870303004167, 0.0020902782560040124 0.0007238987214604445 0.002393373880915135 0.010112013186110885 0.06171759476311148 0.24827593199843717 0.6746869091939609, 
31, 0011111100, 0000011100, 0.5582348432821641, 0.9303006687921502, 0.0033610061588887938 0.00067034912062293 0.0031845186422872966 0.016037627614951148 0.05889340044698523 0.21604044638267844 0.7018126516335861, 
