run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 0011111100, 0011111111, 0.6213461166009622, 0.9932195154041039, 0.0 0.0 0.0 0.0 0.0011433340334391238 0.038396239508497146 0.9604604264580637, 
2, 0011111100, 0011111100, 0.6188786344072785, 0.9901244840749495, 0.0 0.0 0.0 0.00011438975354069754 0.003119302586684681 0.05267132111631231 0.9440949865434622, 
3, 0111111100, 0011111100, 0.6200486128317784, 0.9915885676614808, 0.0 0.0 0.0 0.0 0.001894242453960918 0.04668010912319274 0.9514256484228464, 
4, 0011111100, 0001111100, 0.6196038924844732, 0.9910146164970991, 0.0 0.0 0.0 0.0 0.0024226929201506073 0.04906691517710407 0.9485103919027453, 
5, 0011111100, 0011111100, 0.6205469848063967, 0.9926909802886894, 0.0 0.0 0.0 0.0 0.0007025894706934122 0.04244893932647722 0.9568484712028295, 
6, 0111111100, 0011111100, 0.620572233587628, 0.9918191886758594, 0.0 0.0 0.0 0.00010151309484867822 0.0012401555845351587 0.04630001749122699 0.9523583138293892, 
7, 0111111100, 0011111100, 0.6203361239332266, 0.992459503255683, 0.0 0.0 0.0 0.0 0.0011691010926548923 0.04290477828059225 0.9559261206267529, 
8, 0011111100, 0011111100, 0.6200125929434147, 0.9903929309233078, 0.0 0.0 0.0 0.00019987983529424382 0.001382576404987382 0.05427762214429526 0.9441399216154231, 
9, 0011111100, 0011111100, 0.6205190949240837, 0.9922202514911836, 0.0 0.0 0.0 0.0 0.0007127779860960301 0.04525293508070591 0.954034286933198, 
10, 0011111100, 0011111100, 0.6201486957244922, 0.9911886236859769, 0.0 0.0 0.0 1.4970328343709308e-05 0.0037283610490355602 0.04536662480103572 0.950890043821585, 
11, 0011111100, 0111111100, 0.6209898341351495, 0.9926435287809642, 0.0 0.0 0.0 0.0 0.0021040004841985224 0.039930826345817294 0.9579651731699843, 
12, 0011111100, 0011111100, 0.620634476323948, 0.9915893677133385, 0.0 0.0 0.0 0.0005287436306502705 0.0016741728265879834 0.04552921717484159 0.9522678663679202, 
13, 0111111100, 0011111100, 0.6210703417546095, 0.9927444735109004, 0.0 0.0 0.0 0.0 0.0008553007140842363 0.04182255750642846 0.9573221417794873, 
14, 0011111100, 0111111100, 0.6193882639653019, 0.9904832247505071, 0.0 0.0 0.0 0.0002969269745349032 0.0025689402604667628 0.05107199005241971 0.9460621427125786, 
15, 0011111100, 0011111100, 0.6207752079905693, 0.992024321695887, 0.0 0.0 0.0 0.0 0.0016512572573546566 0.04455155530996906 0.9537971874326763, 
16, 0011111000, 0011111100, 0.62066939925256, 0.991679146778563, 0.0 0.0 0.0 0.00010783944533331052 0.0027059045466219524 0.04418979189937892 0.9529964641086658, 
17, 0011111100, 0111111100, 0.6203895880653848, 0.991760149252758, 0.0 0.0 0.0 0.0 0.0007840877159814465 0.04787092905148969 0.9513449832325289, 
18, 0011111100, 0011111100, 0.6211331179849292, 0.992688351036372, 0.0 0.0 0.0 0.0 0.0012619830834700804 0.04134592761482866 0.9573920893017013, 
19, 0011111100, 0011111100, 0.6207545430132649, 0.9920730511926869, 0.0 0.0 0.0 0.0 0.0016417175613603206 0.04427825772115788 0.9540800247174819, 
20, 0011111110, 0011111100, 0.6201077070170434, 0.9914006630607552, 0.0 0.0 0.0 0.0001730212786565508 0.0026069941333726897 0.04586296953275391 0.9513570150552169, 
21, 1111111100, 0011111100, 0.6215399132708326, 0.9929934101036711, 0.0 0.0 0.0 0.0 0.0017726868684137434 0.038494165641145696 0.9597331474904406, 
22, 0011111100, 0011111100, 0.6201238405669498, 0.9916472475276196, 0.0 0.0 0.0 0.0001382541787683396 0.0014494834469827725 0.04680278540401261 0.9516094769702363, 
23, 0011111110, 0011111100, 0.6203486689153237, 0.9922336879793084, 0.0 0.0 0.0 0.0 0.0020996826018762163 0.04239850692039699 0.9555018104777268, 
24, 0111111100, 0011111100, 0.6187869809134656, 0.9896503548776902, 0.0 0.0 0.0 0.0002425693413206225 0.003077301833581186 0.05521555904273527 0.9414645697823629, 
25, 0011111100, 0011111100, 0.6199401453860688, 0.9910588947671256, 0.0 0.0 0.0 0.0 0.0021631321501479187 0.04932036709695053 0.9485165007529016, 
26, 0011111100, 0111111100, 0.6214793526301257, 0.992415068894114, 0.0 0.0 0.0 0.0 0.0017711774399513855 0.041967231755412886 0.9562615908046357, 
