run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 0111111110, 1111111100, 0.697012710996691, 0.9934188344465005, 0.0 0.0 0.0 0.0 0.0026560594601301207 0.03417487440073708 0.9631690661391328, 
2, 0111111110, 0011111100, 0.6953956428128426, 0.9930000276848647, 0.0 0.0 0.0 0.0 0.0005920955034330913 0.04081564288394559 0.9585922616126212, 
3, 0111111111, 0011111110, 0.6968118110138831, 0.9928460618445175, 0.0 0.0 0.0 0.0 0.002086274106351506 0.0387510807201927 0.9591626451734557, 
4, 0011111111, 0011111100, 0.6949392933854828, 0.9912811254486262, 0.0 0.0 0.0 0.0 0.0025450523251991015 0.04722314265784455 0.9502318050169564, 
5, 0011111110, 0011111110, 0.6963481328734918, 0.9934964155282324, 0.0 0.0 0.0 0.0 0.0007552561993086532 0.037510994431988576 0.9617337493687028, 
6, 0011111100, 0011111110, 0.6956242174889269, 0.9923500277839313, 0.0 0.0 0.0 0.0 0.0018756465985131545 0.04214854009938569 0.9559758133021012, 
7, 1111111100, 1111111111, 0.696304635571424, 0.9931927401236839, 0.0 0.0 0.0 0.0 0.003634613433875892 0.033574332390145484 0.9627910541759787, 
8, 0011111100, 0001111100, 0.6976197616532054, 0.9917515017883686, 0.0 0.0 0.0 0.00015436956556831086 0.002406785131459974 0.044214310310164234 0.9532245349928075, 
9, 0111111100, 0011111100, 0.695569143279099, 0.9921815712193321, 0.0 0.0 0.0 0.0 0.0012389175921326536 0.04443273749974239 0.9543283449081249, 
10, 0011111100, 0011111100, 0.6961101896548982, 0.988997898986677, 0.0 0.0 0.0 0.0008423916771987506 0.005665430020027756 0.05215457100828598 0.9413376072944875, 
11, 0011111100, 0011111100, 0.6925734841241858, 0.9918315850910171, 0.0 0.0 0.0 0.0 0.0012954906053584529 0.04641950824318082 0.9522850011514609, 
12, 0111111100, 0011111110, 0.6924171124388551, 0.9887004332522332, 0.0 0.0 0.0 0.000558882907768204 0.004379522602097391 0.05736170655910219 0.9376998879310323, 
13, 0011111110, 0011111100, 0.704120560181418, 0.9949073981120312, 0.0 0.0 0.0 0.0 0.0007419074568926294 0.029071796414027753 0.9701862961290797, 
14, 0011111100, 0111111100, 0.698113475022379, 0.9918779151418387, 0.0 0.0 0.0 2.3482491012754893e-05 0.002257925757188825 0.044146210161552284 0.9535723815902462, 
15, 0111111100, 1111111100, 0.7009807061666706, 0.9940792868679372, 0.0 0.0 0.0 0.0 0.001194070512245283 0.03313613776788645 0.9656697917198683, 
16, 0011111100, 1111111110, 0.695581222861354, 0.9908712786725569, 0.0 0.0 0.0 0.0007870486729336919 0.002658072669627439 0.047095036606602976 0.949459842050836, 
17, 0111111110, 0111111111, 0.6975306051278313, 0.9917480165534555, 0.0 0.0 0.0 0.0 0.001528248212347428 0.04645540425457264 0.95201634753308, 
18, 0011111110, 0111111100, 0.6945671401266733, 0.9922722358573949, 0.0 0.0 0.0 0.0 0.0033121025725166495 0.03974237971059766 0.9569455177168856, 
19, 0011111100, 1111111100, 0.6973702666966113, 0.9913150835750268, 0.0 0.0 0.0 0.0 0.0027934418088584566 0.04652261493212175 0.9506839432590198, 
20, 0011111100, 0011111100, 0.701217723084439, 0.9935007511729279, 0.0 0.0 0.0 0.0 0.0012568884187065417 0.03648171612501926 0.9622613954562741, 
21, 0011111100, 1111111110, 0.6996616465230745, 0.9911429202637991, 0.0 0.0 0.0 0.0 0.0021718169728897297 0.048798844471425566 0.9490293385556846, 
22, 0011111110, 0011111100, 0.6955162675477053, 0.9904761535902953, 0.0 0.0 0.0 0.0 0.002870767583184909 0.05140154329185833 0.9457276891249569, 
