run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 011000, 111111, 0.36089214523305635, 0.36089214523305635, 0.4156720925861038 0.07128052374195673 0.09110412759624048 0.08064839045137367 0.12332364864035222 0.13120297535546835 0.08676824162850476, 
2, 000011, 001110, 0.3806156270435748, 0.3806156270435748, 0.3800574073500064 0.06800184500913023 0.10022959785558581 0.10063390170721677 0.13187729115478178 0.12937788973930375 0.08982206718397519, 
3, 000000, 011111, 0.32624410361336936, 0.32624410361336936, 0.4492813465419131 0.08058891457198908 0.07966930874097576 0.1066823102389117 0.10691655006076306 0.09134546040619566 0.08551610943925168, 
4, 000000, 000100, 0.333594678278101, 0.333594678278101, 0.4190898827007317 0.07463829506618425 0.10172828473583644 0.12271201199692876 0.11473073990578639 0.10619050405037758 0.06091028154415489, 
5, 000011, 000000, 0.3931949629910136, 0.3931949629910136, 0.3879504106387987 0.06382842071361416 0.08834153611574105 0.09444123519465866 0.11214107457654274 0.1330136554530295 0.12028366730761518, 
6, 000000, 011110, 0.44855807491041044, 0.44855807491041044, 0.3248284809852251 0.05999932482135078 0.08022863507721352 0.09577545710756465 0.14501995493817257 0.16140321901153964 0.1327449280589337, 
7, 000000, 111110, 0.4721838499498365, 0.4721838499498365, 0.28164954071758175 0.04823349057925341 0.07401831343304939 0.15668424904362482 0.15671213913154808 0.15628192397305568 0.12642034312188682, 
8, 000000, 000000, 0.4386462299715911, 0.4386462299715911, 0.3412774540978872 0.06274982803979207 0.07914359236365458 0.102747322084402 0.11028765177481338 0.161317116126719 0.14247703551273175, 
9, 011111, 000000, 0.4092830638143093, 0.4092830638143093, 0.3429254447379205 0.067953365354956 0.08897388064418452 0.13913717730778752 0.12452193974415932 0.12463118792342154 0.11185700428757056, 
10, 001100, 001110, 0.44240966953870237, 0.44240966953870237, 0.3214990824611058 0.06279524144342784 0.08381119469424096 0.11120377264344208 0.13992078194713045 0.15387362018246048 0.12689630662819232, 
