run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 111110, 111110, 0.9183585764597744, 0.9183585764597744, 0.0 8.29132232646715e-05 0.002143337424507845 0.01391226969538657 0.07667724129146364 0.28576933375791225 0.6214149046074651, 
2, 111110, 111011, 0.9138135253762371, 0.9138135253762371, 0.0 4.0736584217151e-05 0.0021889316748282665 0.015843711712057184 0.0819216652235678 0.2967849725388717 0.6032199822664579, 
3, 111111, 111100, 0.915085073173588, 0.915085073173588, 6.079156741812115e-05 9.061094225503149e-05 0.0017283597935294109 0.012873798797386272 0.0812272888508116 0.3006823435747891 0.6033368064738105, 
4, 111111, 101110, 0.914075143348507, 0.914075143348507, 0.0 0.00020005412799051827 0.0022546637869688057 0.014171271049143005 0.08534359508772145 0.2923292107982583 0.605701205149918, 
5, 101111, 111111, 0.9098407768634903, 0.9098407768634903, 0.0 4.7900379336334404e-05 0.002170061639881272 0.016931636505263758 0.08710267683886896 0.30703532716932236 0.5867123974673273, 
6, 101011, 111111, 0.9162042768359724, 0.9162042768359724, 0.0 7.510046609117871e-05 0.0016284037271221724 0.012550332053487738 0.08003645642181419 0.2981613127411302 0.6075483945903546, 
7, 111111, 111111, 0.9147725991479398, 0.9147725991479398, 0.0 0.00019653331372417152 0.0025703873911297175 0.015388726966340844 0.08431095904968244 0.2853120899808342 0.6122213032982887, 
8, 111111, 111111, 0.9134240608460322, 0.9134240608460322, 0.0 0.00022887259231300577 0.0021953814456169307 0.013506605455882666 0.08111394878824905 0.30678203223562833 0.5961731594823101, 
9, 101111, 111001, 0.9119187498290133, 0.9119187498290133, 5.825889201221011e-05 0.0003250011582443827 0.0018490206109525332 0.017598926369093944 0.08255336632645587 0.30121334767862085 0.5964020789646203, 
10, 111111, 101110, 0.9169551817311715, 0.9169551817311715, 0.0 0.00020821654737305072 0.0016804610935041377 0.013175581445474567 0.08172849159597785 0.28752225497371015 0.6156849943439603, 
11, 111111, 111111, 0.9189310093619314, 0.9189310093619314, 0.0 0.00027836320815242466 0.0010408151517784345 0.014094159061635149 0.07613114103498138 0.2863141079256677 0.622141413617785, 
12, 111011, 111111, 0.9188617060105686, 0.9188617060105686, 0.0 4.473788530735742e-05 0.001499000059867714 0.013630444699207475 0.07457022610662349 0.2905782879597115 0.6196773032892825, 
13, 111110, 011111, 0.9122283815189662, 0.9122283815189662, 0.0 0.00037358948344423654 0.002540701550864804 0.014485933163739435 0.08289144117492828 0.3053582754244471 0.5943500592025762, 
14, 111111, 011111, 0.9160283758312655, 0.9160283758312655, 2.639328657786051e-06 0.00010358696270451658 0.002029209545584349 0.01395135715435143 0.08172318797331651 0.2898786886349136 0.6123113304004718, 
15, 111110, 111111, 0.9126818777400593, 0.9126818777400593, 0.0 9.457193416056178e-05 0.0024437214687849365 0.015926884639831402 0.08458214690257143 0.29671604028906523 0.6002366347655863, 
16, 001111, 111111, 0.9161140337446853, 0.9161140337446853, 0.0 5.308654598253113e-05 0.0013283823605011757 0.0132105493923353 0.07842584472549571 0.3012534977319742 0.6057286392437111, 
17, 111111, 111111, 0.9152426739068185, 0.9152426739068185, 8.07459636989094e-06 0.00038257014113793765 0.0027823252014537365 0.016575338257324605 0.07695755105217289 0.2918122405930456 0.6114819001584952, 
18, 011111, 111111, 0.9202487413844311, 0.9202487413844311, 0.0 9.523351826554252e-06 0.0013844753100458566 0.012140964676253162 0.06884897093196317 0.2988011978014109 0.6188148679285004, 
19, 111101, 010111, 0.916747388684486, 0.916747388684486, 0.0 6.435552464712233e-05 0.001693041189896379 0.012306617089960219 0.07511943161771356 0.3052630110049553 0.6055535435728274, 
20, 111111, 101111, 0.9156415615192562, 0.9156415615192562, 9.769078395979744e-05 0.0001810712493937356 0.0020337504484095902 0.012673608704878452 0.08058941798986977 0.2973244660457219 0.6070999947777668, 
21, 110111, 111111, 0.9143665012981255, 0.9143665012981255, 1.0244257375853401e-05 0.00032313168442435204 0.0022059265069770528 0.01608250247018066 0.074108753667308 0.3068351474718036 0.6004342939419305, 
22, 111111, 111111, 0.9096669234314747, 0.9096669234314747, 0.0 0.00011826296851203553 0.0036030528948467326 0.018459677265404893 0.08170801530389289 0.3081998705852044 0.5879111209821389, 
23, 111100, 111111, 0.9177936074370157, 0.9177936074370157, 0.0 5.70191053027766e-05 0.002190711510108569 0.01492634685075632 0.07780031671297355 0.2838107398327425 0.6212148659881163, 
24, 111011, 111111, 0.9144795086751293, 0.9144795086751293, 0.0 0.00013422539359251657 0.001567115235783759 0.013781522705660904 0.08239907302393218 0.3000406458732797 0.602077417767751, 
25, 111110, 111111, 0.914472241317117, 0.914472241317117, 6.122394920774868e-05 0.000250981830126927 0.0020463554885950257 0.014459994922395495 0.07579285227716136 0.30839318797552706 0.5989954035569864, 
26, 111111, 111111, 0.9155976013992481, 0.9155976013992481, 0.00011746643871466318 0.00045482321199719213 0.0015946873163717628 0.016248962592514918 0.08100764672792594 0.2862945464133535 0.614281867299122, 
27, 111111, 111111, 0.9145244387742444, 0.9145244387742444, 0.0 0.000501462448386408 0.002367784927445075 0.016194067778712837 0.08134476881948945 0.28960317442770445 0.6099887415982618, 
28, 111111, 111111, 0.9176097541176198, 0.9176097541176198, 0.0 0.00011693140728950499 0.002277863268364987 0.015031513922692138 0.07405429276793149 0.29144223788043444 0.6170771607532876, 
29, 111111, 101111, 0.9121350196097242, 0.9121350196097242, 0.0 0.00011637207247758904 0.00256615147245764 0.01439823998613273 0.08303573742271778 0.30707722128560233 0.5928062777606119, 
30, 111111, 111111, 0.9138539543718073, 0.9138539543718073, 0.0 0.00012444390081699404 0.0023086824462014363 0.015508672464186876 0.08472808988295047 0.2910371273218042 0.60629298398404, 
31, 111111, 111111, 0.9158846496135559, 0.9158846496135559, 0.0 0.00017122614295449993 0.002527285399632603 0.014872173540467637 0.07860920723057065 0.2918918949228181 0.6119282127635565, 
32, 111111, 111111, 0.9169213094272517, 0.9169213094272517, 0.0 0.00024579800620641736 0.002717131503343419 0.01511963010340337 0.07567706178342884 0.289661613515016 0.616578765088602, 
33, 111111, 110011, 0.912973665305677, 0.912973665305677, 0.0 2.950934589879853e-05 0.0017967148446865924 0.017587808507929265 0.07923567133214196 0.30358883386962593 0.5977614620997175, 
34, 111111, 111111, 0.9164123989090335, 0.9164123989090335, 0.0 0.00019661540521162605 0.0013728343730191742 0.011985717251413076 0.08230313541993596 0.29448776943355365 0.6096539281168665, 
35, 111111, 111111, 0.9152042718470874, 0.9152042718470874, 0.0 0.00027034095430910585 0.002607954228936088 0.018520693780563785 0.0803031179373835 0.2808225300137274 0.61747536308508, 
36, 111111, 111110, 0.9115552605784708, 0.9115552605784708, 0.0 0.00018412280865787747 0.00324454168223364 0.018204956053888922 0.0831925953897461 0.2957695968157921 0.5994041872496814, 
37, 111111, 111110, 0.9210133605303409, 0.9210133605303409, 2.7785269648347578e-05 0.0001931381775673798 0.0013346197117014352 0.012530463454164765 0.06892686026178195 0.29200384457936324 0.6249832885457729, 
38, 111101, 111111, 0.915002708782381, 0.915002708782381, 0.0 2.7871115506263003e-05 0.0015234023780999791 0.01644316786164928 0.08393207667436947 0.28655712528209626 0.6115163566882786, 
39, 111111, 111111, 0.9167921769978059, 0.9167921769978059, 0.0 3.8296149156618684e-05 0.0018279939047633838 0.015293265100896234 0.08142231668644234 0.28301905297275487 0.6183990751859866, 
40, 111111, 111111, 0.913958985594219, 0.913958985594219, 0.0 4.0272857993273505e-05 0.0017198654261856117 0.014521276669511201 0.07879514498877412 0.3080111404538958 0.5969122996036399, 
41, 111111, 111011, 0.9139822168462763, 0.9139822168462763, 0.0 0.000341024520757028 0.002158004608162058 0.014171590123899534 0.078793186199029 0.30566841511615184 0.5988677794320006, 
42, 111111, 101111, 0.9150458115376472, 0.9150458115376472, 0.0 7.68446690750122e-05 0.0017410193572257528 0.013943102436408462 0.08554620947472388 0.2894551037411663 0.6092377203214007, 
43, 111111, 111111, 0.9129184679196165, 0.9129184679196165, 0.0 0.0002546547599275055 0.0022679810484867433 0.015759796129243595 0.08432597088574659 0.2962126643294922 0.6011789328471033, 
44, 001111, 111111, 0.9122881800402621, 0.9122881800402621, 2.5389677619820546e-05 8.656606542581602e-05 0.001693663891511829 0.015276949493689986 0.0813718974072622 0.3103364525039378 0.5912090809605525, 
45, 111110, 111111, 0.9138912709253187, 0.9138912709253187, 0.00018889859962701794 0.0002246404047358036 0.0032718759007079965 0.014965656721449595 0.07857143757573079 0.299268431908004 0.6035090588897448, 
46, 111111, 111111, 0.9168188309545799, 0.9168188309545799, 0.0 0.00014881511170794566 0.0013081744399448519 0.014056317059822004 0.08087644233133212 0.28918840511207045 0.6144218459451226, 
47, 111111, 011110, 0.9147310058419885, 0.9147310058419885, 1.3867157187348318e-06 0.00017257748153853982 0.0012625232060356508 0.013836667840742814 0.08193716660577785 0.3003083276881368 0.6024813504620496, 
48, 111111, 111111, 0.9193935418475127, 0.9193935418475127, 0.0 0.0003051849844647021 0.0016610960181594533 0.012131738629007384 0.07279631813017003 0.2934805877726013 0.6196250744655972, 
49, 111111, 111111, 0.9134356595319298, 0.9134356595319298, 0.0 0.0003824917274647383 0.0032759726000057654 0.01692510357400356 0.0806012444150087 0.2923918942190461 0.6064232934644712, 
50, 111111, 111011, 0.9180113805243426, 0.9180113805243426, 0.0 0.0 0.0010398076696330025 0.013031603408359412 0.07909426258200906 0.29048915078631604 0.6163451755536826, 
51, 111111, 111110, 0.9164688852107139, 0.9164688852107139, 0.0 4.502713901083384e-05 0.001400808881762645 0.012702982675866281 0.07928239680315763 0.29868457587969793 0.6078842086205047, 
