tau,h,optimalh_k_ICS,optimalh_I_CS,optimalh_k_ICX,optimalh_I_CX
10.0,1.0,0.99,1.6315880061198877,0.99,1.2799792574234337
10.0,1.0954773869346734,0.77,4.037599481746885,0.77,1.7800138534449064
10.0,1.1909547738693467,0.99,1.6553194902786141,0.99,1.2980230805319435
10.0,1.2864321608040201,0.5775,4.034040124736396,0.70125,1.7805346224019907
10.0,1.3819095477386933,0.99,1.6738403644462214,0.99,1.311242722867251
10.0,1.4773869346733668,0.55,4.03882441973637,0.53625,1.7808299476261467
10.0,1.5728643216080402,0.99,1.6881924998441802,0.99,1.3207203959071725
10.0,1.6683417085427137,0.4125,4.017243543974887,0.50875,1.7803113068646665
10.0,1.763819095477387,0.99,1.6991295268016142,0.99,1.3272733110131116
10.0,1.8592964824120601,0.31625,3.971089491511016,0.7975,1.7797958088077446
10.0,1.9547738693467336,0.99,1.7051396585903114,0.99,1.3313971815425023
10.0,2.050251256281407,0.28875,3.9077679149219433,0.605,1.7788805180423355
10.0,2.1457286432160805,0.92125,1.7037166917246658,0.99,1.333430949015697
10.0,2.241206030150754,0.22,3.83347781063972,0.46749999999999997,1.777524116926573
10.0,2.3366834170854274,0.77,1.6996877373209263,0.99,1.3337859203265592
10.0,2.4321608040201004,0.17875000000000002,3.7520480911030964,0.3575,1.7757666613775382
10.0,2.527638190954774,0.66,1.6945069476657793,0.99,1.332864927382985
10.0,2.6231155778894473,0.26125,3.676580813841639,0.26125,1.7736321149515994
10.0,2.7185929648241203,0.56375,1.6884513169130528,0.99,1.3307718830233282
10.0,2.8140703517587937,0.20625,3.6105177335647642,0.20625,1.7710656538428164
10.0,2.909547738693467,0.50875,1.6818914632336937,0.92125,1.3274683338275168
10.0,3.0050251256281406,0.165,3.5406589779466433,0.165,1.7679975624319957
10.0,3.100502512562814,0.46749999999999997,1.6753251337409862,0.81125,1.323886537353604
10.0,3.1959798994974875,0.1375,3.4693981409044943,0.1375,1.764402234434493
10.0,3.291457286432161,0.45375,1.6693046092756627,0.715,1.3202536885955933
10.0,3.386934673366834,0.11,3.3986856120658295,0.11,1.7603445481552638
10.0,3.4824120603015074,0.42624999999999996,1.6638548419756827,0.6325,1.3166338076338908
10.0,3.577889447236181,0.1,3.3301026579716346,0.0872324290929691,1.7557233654951903
10.0,3.6733668341708543,0.385,1.658651376548947,0.55,1.3130793547619597
10.0,3.7688442211055277,0.0872324290929691,3.264065202406462,0.07609496685459875,1.750649486846995
10.0,3.8643216080402008,0.34375,1.6534828339282102,0.495,1.3096241471238548
10.0,3.959798994974874,0.0872324290929691,3.2016882571926093,0.06637948800475621,1.7450694777568236
10.0,4.055276381909548,0.3025,1.6482313174357304,0.44,1.3062940200483184
10.0,4.150753768844221,0.0872324290929691,3.1453656971943524,0.057904439806024895,1.7390533858430937
10.0,4.2462311557788945,0.26125,1.6428085785410234,0.39875,1.3031060258979696
10.0,4.341708542713567,0.07609496685459875,3.0915682277856544,0.05051144939547159,1.7326757003415878
10.0,4.4371859296482405,0.23375,1.6372474756790858,0.3575,1.3000799823785156
10.0,4.532663316582914,0.07609496685459875,3.0408937917530134,0.03843667067526157,1.7260234582576541
10.0,4.628140703517587,0.20625,1.6314207135583936,0.31625,1.297200603100972
10.0,4.723618090452261,0.06637948800475621,2.9922419912111407,0.033529241492495566,1.7191312200572293
10.0,4.819095477386934,0.17875000000000002,1.6254108717068727,0.28875,1.294471581665092
10.0,4.914572864321608,0.06637948800475621,2.945866183143198,0.033529241492495566,1.7120588233952423
10.0,5.010050251256281,0.15125,1.619159278229158,0.26125,1.2918500580297205
10.0,5.105527638190955,0.06637948800475621,2.902020677765098,0.029248371810351573,1.7048876981680074
10.0,5.201005025125628,0.1375,1.6126686644673098,0.23375,1.2893203159258375
10.0,5.296482412060302,0.06637948800475621,2.860748275235112,0.0255140652003129,1.697614144119753
10.0,5.391959798994975,0.11,1.6059183076356387,0.20625,1.2868249732748425
10.0,5.4874371859296485,0.057904439806024895,2.821652620819309,0.022256538834596835,1.690291496363257
10.0,5.582914572864322,0.1,1.5994734483154789,0.1925,1.2844062198816721
10.0,5.6783919597989945,0.057904439806024895,2.7843528729309712,0.019414919457438815,1.6829538656545613
10.0,5.773869346733668,0.0872324290929691,1.5928234927388116,0.165,1.2819130329509847
10.0,5.869346733668341,0.057904439806024895,2.7485705472305106,0.01693610584916738,1.6755752353031133
10.0,5.964824120603015,0.07609496685459875,1.586277888510387,0.15125,1.2795477812144231
10.0,6.060301507537688,0.057904439806024895,2.714329936040094,0.014773776525985112,1.6681130170703748
10.0,6.155778894472362,0.06637948800475621,1.5799321759780731,0.1375,1.2771404792549426
10.0,6.251256281407035,0.057904439806024895,2.681425242204889,0.014773776525985112,1.6606615787311387
10.0,6.346733668341709,0.057904439806024895,1.573874120813187,0.12375,1.274695023732423
10.0,6.442211055276382,0.057904439806024895,2.649570722742026,0.012887524132383678,1.6532784912575158
10.0,6.5376884422110555,0.04406236427773573,1.5685542307927098,0.12375,1.27221148180106
10.0,6.633165829145728,0.05051144939547159,2.618604663684679,0.011242100350620862,1.6458892508931644
10.0,6.7286432160804015,0.03843667067526157,1.5636340366681782,0.11,1.2699484696678267
10.0,6.824120603015075,0.05051144939547159,2.5886743263386025,0.009806757216915775,1.6385226618914457
10.0,6.919597989949748,0.029248371810351573,1.5596737218108243,0.1,1.2676158087441312
10.0,7.015075376884422,0.05051144939547159,2.5593809306744015,0.008554672535565685,1.631157194695844
10.0,7.110552763819095,0.0255140652003129,1.5563152183252813,0.0872324290929691,1.2652732297323857
10.0,7.206030150753769,0.05051144939547159,2.530559505400457,0.007462448653723031,1.623736362754333
10.0,7.301507537688442,0.019414919457438815,1.5541915100639676,0.0872324290929691,1.2628681275938298
10.0,7.396984924623116,0.04406236427773573,2.502446173491442,0.007462448653723031,1.6165231145842047
10.0,7.492462311557789,0.01693610584916738,1.5525430078130338,0.07609496685459875,1.2607723721750803
10.0,7.5879396984924625,0.04406236427773573,2.4748018041169164,0.00650967523045817,1.6092348845826834
10.0,7.683417085427135,0.012887524132383678,1.5522425080462592,0.06637948800475621,1.2585016305521708
10.0,7.7788944723618085,0.03843667067526157,2.447849176602972,0.005678547829591997,1.601726963133287
10.0,7.874371859296482,0.011242100350620862,1.5522318637690304,0.06637948800475621,1.2561543556153023
10.0,7.969849246231155,0.03843667067526157,2.421295672248256,0.005678547829591997,1.594526960565808
10.0,8.065326633165828,0.008554672535565685,1.553321978063054,0.057904439806024895,1.2541285198090233
10.0,8.160804020100503,0.033529241492495566,2.3952412625714596,0.00495353520895917,1.5870551190618722
10.0,8.256281407035175,0.007462448653723031,1.5547181786881974,0.05051144939547159,1.2519558539387163
10.0,8.35175879396985,0.033529241492495566,2.369660111175545,0.00495353520895917,1.579854600990789
10.0,8.447236180904522,0.005678547829591997,1.5565257162858235,0.04406236427773573,1.2496575718151481
10.0,8.542713567839197,0.029248371810351573,2.344318755641522,0.004321089088750567,1.5724006896296816
10.0,8.638190954773869,0.00495353520895917,1.5590206072378883,0.04406236427773573,1.2476518932237721
10.0,8.733668341708542,0.029248371810351573,2.3197148755526418,0.004321089088750567,1.5652254000073937
10.0,8.829145728643216,0.004321089088750567,1.5615047775917046,0.03843667067526157,1.245590150725652
10.0,8.924623115577889,0.0255140652003129,2.2958929764680915,0.0037693909753883635,1.5577729143687669
10.0,9.020100502512562,0.0032881313098424274,1.5641388152950375,0.033529241492495566,1.243417796678709
10.0,9.115577889447236,0.022256538834596835,2.2723160554795543,0.0037693909753883635,1.5505160766059576
10.0,9.21105527638191,0.002868316813342012,1.5673510411243492,0.033529241492495566,1.2414298612323897
10.0,9.306532663316583,0.022256538834596835,2.249448672647763,0.0032881313098424274,1.543066861533343
10.0,9.402010050251256,0.0025021024303602817,1.5704580603256293,0.029248371810351573,1.239473562799088
10.0,9.49748743718593,0.022256538834596835,2.226712647132617,0.0032881313098424274,1.535697325060096
10.0,9.592964824120603,0.0021826447283974874,1.57342896007776,0.0255140652003129,1.2374153820007054
